Rank,Location,Province,Numbers,BenfordError,PlotName
120,Andorra,nan,230,0.16520,andorra.png
121,Sweden,Dalarna,164,0.16630,sweden_dalarna.png
122,India,Odisha,260,0.16657,india_odisha.png
123,Spain,Murcia,199,0.16676,spain_murcia.png
124,India,Tripura,237,0.16680,india_tripura.png
125,India,Uttar Pradesh,260,0.16737,india_uttar_pradesh.png
126,Spain,La Rioja,193,0.16749,spain_la_rioja.png
127,Somalia,nan,154,0.16767,somalia.png
128,Colombia,Tolima,266,0.16788,colombia_tolima.png
129,Botswana,nan,85,0.16801,botswana.png
130,Pakistan,Azad Jammu and Kashmir,253,0.16825,pakistan_azad_jammu_and_kashmir.png
131,Ukraine,Zaporizhia Oblast,270,0.16831,ukraine_zaporizhia_oblast.png
132,Germany,Sachsen Anhalt,265,0.16933,germany_sachsen_anhalt.png
133,Ukraine,Kirovohrad Oblast,262,0.17007,ukraine_kirovohrad_oblast.png
134,Peru,Huancavelica,218,0.17063,peru_huancavelica.png
135,Sierra Leone,nan,288,0.17075,sierra_leone.png
136,Peru,Moquegua,216,0.17146,peru_moquegua.png
137,Liberia,nan,213,0.17153,liberia.png
138,Monaco,nan,226,0.17232,monaco.png
139,Sweden,Norrbotten,156,0.17245,sweden_norrbotten.png
140,Colombia,Putumayo,249,0.17282,colombia_putumayo.png
141,Germany,Brandenburg,278,0.17286,germany_brandenburg.png
142,Ghana,nan,257,0.17295,ghana.png
143,Sweden,Stockholm,163,0.17316,sweden_stockholm.png
144,Brazil,Rio Grande do Norte,274,0.17645,brazil_rio_grande_do_norte.png
145,Ukraine,Odessa Oblast,274,0.17657,ukraine_odessa_oblast.png
146,India,Mizoram,221,0.17705,india_mizoram.png
147,Germany,Unknown,139,0.17814,germany_unknown.png
148,Peru,Huanuco,218,0.17814,peru_huanuco.png
149,Greece,nan,362,0.17835,greece.png
150,Ireland,nan,362,0.17890,ireland.png
151,Mexico,Chihuahua,285,0.17928,mexico_chihuahua.png
152,Colombia,Bolivar,267,0.17965,colombia_bolivar.png
153,Japan,Fukushima,180,0.17989,japan_fukushima.png
154,Sweden,Uppsala,165,0.17992,sweden_uppsala.png
155,Jamaica,nan,327,0.18058,jamaica.png
156,Japan,Kumamoto,210,0.18078,japan_kumamoto.png
157,Dominican Republic,nan,351,0.18084,dominican_republic.png
158,Latvia,nan,342,0.18119,latvia.png
159,Italy,Piemonte,292,0.18130,italy_piemonte.png
160,India,Himachal Pradesh,261,0.18133,india_himachal_pradesh.png
161,Pakistan,Balochistan,251,0.18137,pakistan_balochistan.png
162,Canada,British Columbia,257,0.18194,canada_british_columbia.png
163,Sweden,Jamtland Harjedalen,151,0.18218,sweden_jamtland_harjedalen.png
164,Afghanistan,nan,357,0.18301,afghanistan.png
165,France,French Guiana,257,0.18308,france_french_guiana.png
166,Suriname,nan,278,0.18403,suriname.png
167,Switzerland,nan,318,0.18412,switzerland.png
168,Spain,Canarias,199,0.18419,spain_canarias.png
169,Japan,Tokyo,278,0.18436,japan_tokyo.png
170,Ukraine,Mykolaiv Oblast,263,0.18618,ukraine_mykolaiv_oblast.png
171,Brazil,Santa Catarina,279,0.18628,brazil_santa_catarina.png
172,Ukraine,Rivne Oblast,275,0.18631,ukraine_rivne_oblast.png
173,Malaysia,nan,377,0.18634,malaysia.png
174,Ukraine,Poltava Oblast,262,0.18713,ukraine_poltava_oblast.png
175,Sweden,Blekinge,152,0.18812,sweden_blekinge.png
176,Vietnam,nan,272,0.18941,vietnam.png
177,Pakistan,Sindh,254,0.18963,pakistan_sindh.png
178,United Arab Emirates,nan,360,0.18970,united_arab_emirates.png
179,Japan,nan,106,0.19055,japan.png
180,Denmark,nan,337,0.19137,denmark.png
181,Belgium,nan,250,0.19186,belgium.png
182,Togo,nan,325,0.19210,togo.png
183,Colombia,Risaralda,264,0.19228,colombia_risaralda.png
184,Mexico,Chiapas,282,0.19253,mexico_chiapas.png
185,Japan,Saga,160,0.19369,japan_saga.png
186,Central African Republic,nan,137,0.19431,central_african_republic.png
187,Mauritania,nan,296,0.19440,mauritania.png
188,Bosnia and Herzegovina,nan,317,0.19465,bosnia_and_herzegovina.png
189,Ukraine,Cherkasy Oblast,270,0.19504,ukraine_cherkasy_oblast.png
190,Spain,Madrid,213,0.19606,spain_madrid.png
191,Mexico,Durango,286,0.19611,mexico_durango.png
192,Oman,nan,289,0.19755,oman.png
193,Italy,PA Bolzano,263,0.19775,italy_pa_bolzano.png
194,Kenya,nan,347,0.19775,kenya.png
195,Cameroon,nan,140,0.19831,cameroon.png
196,India,Bihar,261,0.19922,india_bihar.png
197,Colombia,Sucre,264,0.19962,colombia_sucre.png
198,Equatorial Guinea,nan,101,0.20044,equatorial_guinea.png
199,Peru,Cusco,218,0.20056,peru_cusco.png
200,Uruguay,nan,339,0.20130,uruguay.png
201,Colombia,Caqueta,241,0.20131,colombia_caqueta.png
202,Brazil,Rondonia,276,0.20147,brazil_rondonia.png
203,Eritrea,nan,110,0.20250,eritrea.png
204,Japan,Osaka,262,0.20288,japan_osaka.png
205,Congo Brazzaville,nan,82,0.20411,congo_brazzaville.png
206,El Salvador,nan,268,0.20432,el_salvador.png
207,Ukraine,Kherson Oblast,241,0.20440,ukraine_kherson_oblast.png
208,Kosovo,nan,248,0.20456,kosovo.png
209,Canada,Manitoba,292,0.20479,canada_manitoba.png
210,Brazil,nan,76,0.20483,brazil.png
211,Chile,Aysen,224,0.20659,chile_aysen.png
212,Croatia,nan,350,0.20684,croatia.png
213,Canada,Ontario,360,0.20749,canada_ontario.png
214,Mexico,Sonora,286,0.20786,mexico_sonora.png
215,Netherlands,Sint Maarten,213,0.20881,netherlands_sint_maarten.png
216,Lebanon,nan,361,0.20919,lebanon.png
217,Pakistan,nan,94,0.20956,pakistan.png
218,Japan,Gunma,228,0.21141,japan_gunma.png
219,Spain,Pais Vasco,211,0.21147,spain_pais_vasco.png
220,Gambia,nan,178,0.21148,gambia.png
221,Romania,nan,364,0.21195,romania.png
222,Japan,Miyazaki,153,0.21233,japan_miyazaki.png
223,Peru,Tumbes,215,0.21373,peru_tumbes.png
224,Colombia,Boyaca,264,0.21489,colombia_boyaca.png
225,Seychelles,nan,98,0.21548,seychelles.png
226,Japan,Wakayama,181,0.21573,japan_wakayama.png
227,Sweden,Vasternorrland,159,0.21627,sweden_vasternorrland.png
228,Mexico,Colima,285,0.21638,mexico_colima.png
229,Pakistan,Islamabad,254,0.21711,pakistan_islamabad.png
230,Mexico,Veracruz,286,0.21744,mexico_veracruz.png
231,Germany,Mecklenburg Vorpommern,244,0.21788,germany_mecklenburg_vorpommern.png
232,Italy,Basilicata,218,0.21789,italy_basilicata.png
233,Slovenia,nan,344,0.21933,slovenia.png
234,Bulgaria,nan,354,0.21960,bulgaria.png
235,Ukraine,Volyn Oblast,275,0.21980,ukraine_volyn_oblast.png
236,France,Guadeloupe,79,0.21987,france_guadeloupe.png
237,Brazil,Ceara,271,0.22023,brazil_ceara.png
238,Japan,Kyoto,256,0.22032,japan_kyoto.png
239,India,Maharashtra,259,0.22042,india_maharashtra.png
240,Estonia,nan,345,0.22052,estonia.png
241,Colombia,Caldas,259,0.22065,colombia_caldas.png
242,Italy,Molise,225,0.22099,italy_molise.png
243,Ukraine,Vinnytsia Oblast,275,0.22133,ukraine_vinnytsia_oblast.png
244,Chile,OHiggins,284,0.22184,chile_ohiggins.png
245,Chile,Los Rios,285,0.22311,chile_los_rios.png
246,China,Liaoning,115,0.22312,china_liaoning.png
247,Sweden,Kalmar,163,0.22367,sweden_kalmar.png
248,Italy,Lombardia,293,0.22532,italy_lombardia.png
249,Sweden,Kronoberg,159,0.22537,sweden_kronoberg.png
250,Germany,Niedersachsen,292,0.22574,germany_niedersachsen.png
251,Chile,Atacama,283,0.22632,chile_atacama.png
252,Serbia,nan,345,0.22688,serbia.png
253,Russia,Pskov Oblast,275,0.22745,russia_pskov_oblast.png
254,China,Guangdong,301,0.22850,china_guangdong.png
255,Lesotho,nan,133,0.22941,lesotho.png
256,Mexico,Puebla,286,0.22944,mexico_puebla.png
257,France,nan,347,0.23005,france.png
258,Russia,Chukotka Autonomous Okrug,179,0.23029,russia_chukotka_autonomous_okrug.png
259,Colombia,La Guajira,263,0.23073,colombia_la_guajira.png
260,Mexico,Aguascalientes,281,0.23169,mexico_aguascalientes.png
261,India,Dadra and Nagar Haveli and Daman and Diu,200,0.23205,india_dadra_and_nagar_haveli_and_daman_and_diu.png
262,France,French Polynesia,140,0.23208,france_french_polynesia.png
263,Ukraine,Khmelnytskyi Oblast,266,0.23317,ukraine_khmelnytskyi_oblast.png
264,South Korea,nan,394,0.23358,south_korea.png
265,India,Chandigarh,260,0.23488,india_chandigarh.png
266,Thailand,nan,347,0.23538,thailand.png
267,Chile,Antofagasta,285,0.23578,chile_antofagasta.png
268,Spain,Castilla y Leon,213,0.23580,spain_castilla_y_leon.png
269,Japan,Niigata,163,0.23594,japan_niigata.png
270,India,Delhi,261,0.23649,india_delhi.png
271,India,Goa,258,0.23665,india_goa.png
272,Mozambique,nan,319,0.23788,mozambique.png
273,Mexico,Tamaulipas,286,0.23805,mexico_tamaulipas.png
274,Japan,Ehime,122,0.23850,japan_ehime.png
275,Nigeria,nan,351,0.23958,nigeria.png
276,Indonesia,nan,361,0.23977,indonesia.png
277,Canada,Nova Scotia,209,0.24085,canada_nova_scotia.png
278,Japan,Hokkaido,277,0.24112,japan_hokkaido.png
279,Netherlands,Overijssel,221,0.24142,netherlands_overijssel.png
280,Mexico,Nayarit,285,0.24215,mexico_nayarit.png
281,Russia,Kostroma Oblast,275,0.24315,russia_kostroma_oblast.png
282,Mexico,Campeche,286,0.24354,mexico_campeche.png
283,Luxembourg,nan,302,0.24443,luxembourg.png
284,Japan,Yamanashi,172,0.24494,japan_yamanashi.png
285,Italy,Liguria,292,0.24567,italy_liguria.png
286,United Kingdom,Cayman Islands,125,0.24616,united_kingdom_cayman_islands.png
287,Peru,Lima,217,0.24671,peru_lima.png
288,Germany,Nordrhein Westfalen,278,0.24719,germany_nordrhein_westfalen.png
289,Japan,Iwate,115,0.24759,japan_iwate.png
290,Guyana,nan,288,0.24785,guyana.png
291,Japan,Aomori,121,0.24802,japan_aomori.png
292,Poland,nan,362,0.24891,poland.png
293,India,nan,101,0.24897,india.png
294,Canada,Saskatchewan,326,0.24935,canada_saskatchewan.png
295,Brazil,Tocantins,280,0.24976,brazil_tocantins.png
296,Japan,Saitama,269,0.25021,japan_saitama.png
297,Germany,Baden Wurttemberg,271,0.25107,germany_baden_wurttemberg.png
298,Colombia,Vichada,137,0.25117,colombia_vichada.png
299,Germany,Rheinland Pfalz,292,0.25206,germany_rheinland_pfalz.png
300,Italy,Toscana,293,0.25268,italy_toscana.png
301,Brazil,Minas Gerais,280,0.25386,brazil_minas_gerais.png
302,Guinea,nan,277,0.25388,guinea.png
303,Brazil,Bahia,280,0.25411,brazil_bahia.png
304,Benin,nan,108,0.25433,benin.png
305,Burkina Faso,nan,290,0.25436,burkina_faso.png
