Rank,Location,Province,Numbers,BenfordError,PlotName
461,Ukraine,Ivano Frankivsk Oblast,275,0.35913,ukraine_ivano_frankivsk_oblast.png
462,Russia,Chelyabinsk Oblast,275,0.35951,russia_chelyabinsk_oblast.png
463,India,Karnataka,261,0.36016,india_karnataka.png
464,Russia,Chuvashia Republic,275,0.36260,russia_chuvashia_republic.png
465,Chile,Araucania,284,0.36262,chile_araucania.png
466,Guinea Bissau,nan,105,0.36282,guinea_bissau.png
467,Bahrain,nan,367,0.36536,bahrain.png
468,Peru,La Libertad,218,0.36708,peru_la_libertad.png
469,Brazil,Mato Grosso,278,0.36871,brazil_mato_grosso.png
470,Chile,Coquimbo,285,0.36882,chile_coquimbo.png
471,Chile,Arica y Parinacota,285,0.36903,chile_arica_y_parinacota.png
472,Mexico,Morelos,281,0.36960,mexico_morelos.png
473,Russia,Khakassia Republic,275,0.36988,russia_khakassia_republic.png
474,Brazil,Piaui,280,0.37033,brazil_piaui.png
475,Guatemala,nan,346,0.37133,guatemala.png
476,Japan,Kochi,115,0.37185,japan_kochi.png
477,Mexico,Baja California,284,0.37313,mexico_baja_california.png
478,Ethiopia,nan,335,0.37426,ethiopia.png
479,Japan,Fukui,109,0.37487,japan_fukui.png
480,Peru,Lambayeque,216,0.37562,peru_lambayeque.png
481,Pakistan,Khyber Pakhtunkhwa,254,0.37731,pakistan_khyber_pakhtunkhwa.png
482,Colombia,Cundinamarca,267,0.37852,colombia_cundinamarca.png
483,Bolivia,nan,350,0.37879,bolivia.png
484,Mexico,Tabasco,286,0.37888,mexico_tabasco.png
485,Japan,Hyogo,249,0.37909,japan_hyogo.png
486,Papua New Guinea,nan,103,0.37999,papua_new_guinea.png
487,Chile,Magallanes,281,0.38014,chile_magallanes.png
488,Netherlands,nan,129,0.38059,netherlands.png
489,Ukraine,Ternopil Oblast,275,0.38133,ukraine_ternopil_oblast.png
490,Brazil,Acre,280,0.38159,brazil_acre.png
491,Albania,nan,358,0.38247,albania.png
492,Russia,Penza Oblast,275,0.38316,russia_penza_oblast.png
493,Colombia,nan,78,0.38334,colombia.png
494,China,Hebei,97,0.38350,china_hebei.png
495,Chile,nan,71,0.38385,chile.png
496,Belgium,Namur,110,0.38431,belgium_namur.png
497,India,Puducherry,251,0.38440,india_puducherry.png
498,Colombia,Vaupes,103,0.38556,colombia_vaupes.png
499,Italy,nan,83,0.38589,italy.png
500,Egypt,nan,363,0.38606,egypt.png
501,Antigua and Barbuda,nan,93,0.38727,antigua_and_barbuda.png
502,Iraq,nan,367,0.38791,iraq.png
503,Honduras,nan,331,0.38841,honduras.png
504,Brazil,Distrito Federal,280,0.38873,brazil_distrito_federal.png
505,Argentina,nan,355,0.39024,argentina.png
506,Mexico,Hidalgo,286,0.39028,mexico_hidalgo.png
507,United Kingdom,Bermuda,133,0.39115,united_kingdom_bermuda.png
508,China,Inner Mongolia,114,0.39153,china_inner_mongolia.png
509,Russia,Kursk Oblast,275,0.39207,russia_kursk_oblast.png
510,Japan,Oita,144,0.39306,japan_oita.png
511,China,Hunan,50,0.39371,china_hunan.png
512,Brazil,Paraiba,279,0.39444,brazil_paraiba.png
513,Mexico,San Luis Potosi,285,0.39588,mexico_san_luis_potosi.png
514,Italy,PA Trento,270,0.39588,italy_pa_trento.png
515,Canada,Nunavut,62,0.39794,canada_nunavut.png
516,United Kingdom,Isle of Man,103,0.39976,united_kingdom_isle_of_man.png
517,Netherlands,Utrecht,224,0.40290,netherlands_utrecht.png
518,Ukraine,Kharkiv Oblast,275,0.40315,ukraine_kharkiv_oblast.png
519,Italy,Calabria,251,0.40544,italy_calabria.png
520,India,Madhya Pradesh,261,0.40570,india_madhya_pradesh.png
521,Russia,Komi Republic,275,0.40571,russia_komi_republic.png
522,United Kingdom,Scotland,258,0.40596,united_kingdom_scotland.png
523,Russia,Chechen Republic,275,0.40618,russia_chechen_republic.png
524,Colombia,Valle del Cauca,266,0.40712,colombia_valle_del_cauca.png
525,Mexico,Guerrero,285,0.40716,mexico_guerrero.png
526,Canada,Newfoundland and Labrador,140,0.40908,canada_newfoundland_and_labrador.png
527,Peru,San Martin,218,0.40923,peru_san_martin.png
528,Sri Lanka,nan,343,0.40933,sri_lanka.png
529,Saudi Arabia,nan,360,0.40979,saudi_arabia.png
530,Chile,Biobio,285,0.40983,chile_biobio.png
531,Netherlands,Drenthe,215,0.41037,netherlands_drenthe.png
532,Italy,Puglia,266,0.41288,italy_puglia.png
533,Japan,Akita,83,0.41333,japan_akita.png
534,Peru,Ancash,217,0.41968,peru_ancash.png
535,Russia,nan,86,0.42090,russia.png
536,Spain,nan,77,0.42238,spain.png
537,Colombia,Antioquia,267,0.42240,colombia_antioquia.png
538,Russia,Amur Oblast,275,0.42333,russia_amur_oblast.png
539,Mexico,Nuevo Leon,286,0.42488,mexico_nuevo_leon.png
540,Mexico,Jalisco,286,0.42591,mexico_jalisco.png
541,Iran,nan,378,0.42791,iran.png
542,Russia,Tambov Oblast,275,0.43022,russia_tambov_oblast.png
543,India,Chhattisgarh,260,0.43037,india_chhattisgarh.png
544,Italy,Emilia Romagna,293,0.43142,italy_emilia_romagna.png
545,Libya,nan,288,0.43328,libya.png
546,China,Hubei,67,0.43402,china_hubei.png
547,Russia,Sakhalin Oblast,274,0.43415,russia_sakhalin_oblast.png
548,Russia,Ivanovo Oblast,275,0.43533,russia_ivanovo_oblast.png
549,Australia,Queensland,211,0.43569,australia_queensland.png
550,Mexico,Sinaloa,286,0.43675,mexico_sinaloa.png
551,Paraguay,nan,348,0.43816,paraguay.png
552,Philippines,nan,366,0.43920,philippines.png
553,Cambodia,nan,142,0.44376,cambodia.png
554,Russia,Kirov Oblast,275,0.44647,russia_kirov_oblast.png
555,India,Jammu and Kashmir,261,0.44774,india_jammu_and_kashmir.png
556,India,Rajasthan,261,0.44849,india_rajasthan.png
557,Netherlands,Zuid Holland,224,0.45023,netherlands_zuid_holland.png
558,India,Telangana,258,0.45036,india_telangana.png
559,Qatar,nan,362,0.45459,qatar.png
560,India,Uttarakhand,249,0.45491,india_uttarakhand.png
561,Netherlands,Zeeland,221,0.45650,netherlands_zeeland.png
562,Montenegro,nan,296,0.45999,montenegro.png
563,Russia,Ingushetia Republic,275,0.46084,russia_ingushetia_republic.png
564,Russia,Tomsk Oblast,275,0.46095,russia_tomsk_oblast.png
565,Chile,Valparaiso,284,0.46128,chile_valparaiso.png
566,Turkey,nan,355,0.46135,turkey.png
567,Japan,Shimane,72,0.46317,japan_shimane.png
568,Belgium,Walloon Brabant,110,0.46539,belgium_walloon_brabant.png
569,Venezuela,nan,340,0.46882,venezuela.png
570,India,Kerala,259,0.47129,india_kerala.png
571,Brazil,Pernambuco,279,0.47395,brazil_pernambuco.png
572,Belgium,Luxembourg,110,0.47684,belgium_luxembourg.png
573,China,Sichuan,202,0.47904,china_sichuan.png
574,China,Beijing,156,0.48165,china_beijing.png
575,China,Henan,60,0.48195,china_henan.png
576,Russia,Khabarovsk Krai,275,0.48460,russia_khabarovsk_krai.png
577,Australia,South Australia,123,0.48693,australia_south_australia.png
578,Netherlands,Limburg,223,0.48726,netherlands_limburg.png
579,Belgium,Unknown,109,0.48751,belgium_unknown.png
580,Canada,Quebec,349,0.49005,canada_quebec.png
581,Russia,Kaliningrad Oblast,275,0.49303,russia_kaliningrad_oblast.png
582,Belgium,Hainaut,110,0.49502,belgium_hainaut.png
583,Russia,Omsk Oblast,275,0.49557,russia_omsk_oblast.png
584,Russia,Zabaykalsky Krai,275,0.49872,russia_zabaykalsky_krai.png
585,Mexico,Michoacan,281,0.49949,mexico_michoacan.png
586,Pakistan,Punjab,254,0.50030,pakistan_punjab.png
587,Russia,Saint Petersburg,275,0.50072,russia_saint_petersburg.png
588,Russia,Moscow Oblast,275,0.50078,russia_moscow_oblast.png
589,Canada,Prince Edward Island,57,0.50143,canada_prince_edward_island.png
590,Colombia,Santander,265,0.50236,colombia_santander.png
591,Brazil,Espirito Santo,278,0.50819,brazil_espirito_santo.png
592,Russia,Karelia Republic,275,0.50896,russia_karelia_republic.png
593,Russia,North Ossetia Alania Republic,275,0.51365,russia_north_ossetia_alania_republic.png
594,Syria,nan,284,0.51397,syria.png
595,Belgium,Liege,110,0.51848,belgium_liege.png
596,China,Tianjin,148,0.51873,china_tianjin.png
597,Russia,Kamchatka Krai,275,0.52212,russia_kamchatka_krai.png
598,Russia,Leningrad Oblast,275,0.52218,russia_leningrad_oblast.png
599,Belgium,Brussels,110,0.52315,belgium_brussels.png
600,Netherlands,Friesland,216,0.52831,netherlands_friesland.png
601,Mexico,Yucatan,285,0.54076,mexico_yucatan.png
602,Japan,Tottori,77,0.55065,japan_tottori.png
603,Russia,Udmurt Republic,275,0.55424,russia_udmurt_republic.png
604,Russia,Bashkortostan Republic,275,0.55424,russia_bashkortostan_republic.png
605,Russia,Tver Oblast,275,0.55690,russia_tver_oblast.png
606,India,Gujarat,261,0.56313,india_gujarat.png
607,Russia,Murmansk Oblast,275,0.56315,russia_murmansk_oblast.png
608,Chile,Metropolitana,285,0.56525,chile_metropolitana.png
609,Russia,Orel Oblast,275,0.56575,russia_orel_oblast.png
610,China,Shandong,96,0.56659,china_shandong.png
611,Russia,Perm Krai,275,0.56788,russia_perm_krai.png
612,Netherlands,Noord Brabant,224,0.57266,netherlands_noord_brabant.png
613,United Kingdom,nan,97,0.57319,united_kingdom.png
614,China,Yunnan,68,0.57516,china_yunnan.png
615,Russia,Nizhny Novgorod Oblast,275,0.58127,russia_nizhny_novgorod_oblast.png
616,Ukraine,Sevastopol,263,0.58425,ukraine_sevastopol.png
617,Russia,Astrakhan Oblast,275,0.58497,russia_astrakhan_oblast.png
618,China,Fujian,165,0.58515,china_fujian.png
619,Russia,Altai Krai,275,0.58800,russia_altai_krai.png
620,Sweden,nan,99,0.58985,sweden.png
621,Russia,Lipetsk Oblast,275,0.59109,russia_lipetsk_oblast.png
622,Kuwait,nan,366,0.59209,kuwait.png
623,Russia,Yamalo Nenets Autonomous Okrug,275,0.59235,russia_yamalo_nenets_autonomous_okrug.png
624,Russia,Tyumen Oblast,275,0.60250,russia_tyumen_oblast.png
625,China,Zhejiang,98,0.61718,china_zhejiang.png
626,China,Shaanxi,159,0.61808,china_shaanxi.png
627,Russia,Tatarstan Republic,275,0.61921,russia_tatarstan_republic.png
628,Italy,Lazio,293,0.61977,italy_lazio.png
629,Belgium,Antwerp,110,0.62230,belgium_antwerp.png
630,Netherlands,Noord Holland,224,0.63277,netherlands_noord_holland.png
631,India,West Bengal,260,0.64409,india_west_bengal.png
632,Belgium,Flemish Brabant,110,0.66393,belgium_flemish_brabant.png
633,Russia,Magadan Oblast,275,0.66593,russia_magadan_oblast.png
634,Russia,Belgorod Oblast,275,0.66636,russia_belgorod_oblast.png
635,China,Jiangsu,78,0.66767,china_jiangsu.png
636,Russia,Smolensk Oblast,275,0.67066,russia_smolensk_oblast.png
637,Belgium,West Flanders,110,0.67066,belgium_west_flanders.png
638,Belgium,East Flanders,110,0.67684,belgium_east_flanders.png
639,Russia,Sverdlovsk Oblast,275,0.67951,russia_sverdlovsk_oblast.png
640,Belarus,nan,344,0.68086,belarus.png
641,Belgium,Limburg,110,0.68890,belgium_limburg.png
642,Russia,Yaroslavl Oblast,275,0.69242,russia_yaroslavl_oblast.png
643,Russia,Moscow,275,0.69975,russia_moscow.png
644,Australia,Northern Territory,57,0.70133,australia_northern_territory.png
645,India,Tamil Nadu,261,0.70528,india_tamil_nadu.png
646,Russia,Kemerovo Oblast,275,0.70745,russia_kemerovo_oblast.png
647,Russia,Dagestan Republic,275,0.71092,russia_dagestan_republic.png
648,Russia,Primorsky Krai,275,0.71983,russia_primorsky_krai.png
649,Russia,Mari El Republic,275,0.72108,russia_mari_el_republic.png
650,Russia,Vologda Oblast,275,0.72884,russia_vologda_oblast.png
651,Russia,Kabardino Balkarian Republic,275,0.73273,russia_kabardino_balkarian_republic.png
652,Russia,Kalmykia Republic,271,0.73373,russia_kalmykia_republic.png
653,Russia,Voronezh Oblast,275,0.73497,russia_voronezh_oblast.png
654,Ukraine,nan,76,0.74004,ukraine.png
655,Russia,Khanty Mansi Autonomous Okrug,275,0.74030,russia_khanty_mansi_autonomous_okrug.png
656,China,Shanxi,70,0.75277,china_shanxi.png
657,Brunei,nan,54,0.75809,brunei.png
658,Russia,Stavropol Krai,275,0.76466,russia_stavropol_krai.png
659,Russia,Rostov Oblast,275,0.82382,russia_rostov_oblast.png
660,Russia,Irkutsk Oblast,275,0.84092,russia_irkutsk_oblast.png
661,Russia,Ulyanovsk Oblast,275,0.87424,russia_ulyanovsk_oblast.png
662,Russia,Volgograd Oblast,275,0.88672,russia_volgograd_oblast.png
663,Russia,Krasnoyarsk Krai,275,0.91533,russia_krasnoyarsk_krai.png
664,Russia,Krasnodar Krai,275,0.93204,russia_krasnodar_krai.png
665,Russia,Novosibirsk Oblast,275,0.93412,russia_novosibirsk_oblast.png
666,Russia,Karachay Cherkess Republic,275,0.93812,russia_karachay_cherkess_republic.png
667,Russia,Saratov Oblast,275,0.93969,russia_saratov_oblast.png
668,Russia,Orenburg Oblast,275,0.96840,russia_orenburg_oblast.png
669,Tajikistan,nan,240,0.98963,tajikistan.png
670,Russia,Mordovia Republic,275,1.03430,russia_mordovia_republic.png
